span,sentence,concept_kind,ontology_term,confidence,has_actorRole,span_norm,match_meta,matched_qname,matched_kind
Operational Equipment Effectiveness (OEE),"Packaging material production lines are generally highly automated yet susceptible to multiple minor disruptions, which significantly impact Operational Equipment Effectiveness (OEE).",class,esco:OperationalEquipmentEffectiveness,0.8,,operational equipment effectiveness (oee),"{'qname': ':Operational', 'kind': 'class'}",:Operational,class
Line Supervisor,"These roles are theoretical and can overlap in a single individual working on the line, leading to high variability in the tasks required by operators and a wide range of operators' skills and experience levels.",instance,esco:HumanActor,0.9,"{'label': 'hasActorRole', 'value': 'Line Supervisor'}",line supervisor,"{'qname': ':Actor', 'kind': 'class'}",:Actor,class
Machine Attendant,"These roles are theoretical and can overlap in a single individual working on the line, leading to high variability in the tasks required by operators and a wide range of operators' skills and experience levels.",instance,esco:HumanActor,0.9,"{'label': 'hasActorRole', 'value': 'Machine Attendant'}",machine attendant,"{'qname': ':Actor', 'kind': 'class'}",:Actor,class
Machine Maintainer,"These roles are theoretical and can overlap in a single individual working on the line, leading to high variability in the tasks required by operators and a wide range of operators' skills and experience levels.",instance,esco:HumanActor,0.9,"{'label': 'hasActorRole', 'value': 'Machine Maintainer'}",machine maintainer,"{'qname': ':Actor', 'kind': 'class'}",:Actor,class
Human actor,The addition of the human actor inside DTs poses new challenges.,class,http://www.w3.org/ns/auth/vocab#HumanActor,0.9,,human actor,"{'qname': ':HumanActor', 'kind': 'class'}",:HumanActor,class
Digital twin of the human being,This brings into consideration questions about what is an appropriate level of abstraction for a human representation within an industrial DT.,class,http://www.w3.org/ns/digitaltwin#DigitalTwin,0.8,,digital twin of the human being,"{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class
human labour,"In the manufacturing sector, based on 2021 data, over 70% of tasks continue to be performed manually, placing a significant portion of value creation on human labour.",class,http://www.w3.org/ns/digitaltwin#OccurrentResource,0.7,,human labour,"{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class
operator 4.0,"The operator changed in industry 4.0, and the operator 4.0 has been defined as a smart and skilled operator who does not only perform cooperative work with robots but also works aided by machines and if needed by means of Human-Cyber-Physical-Systems, advanced human-machine interaction technologies and adaptive automation towards achieving human-automation symbiosis work systems.",class,http://www.w3.org/ns/digitaltwin#Actor,0.6,,operator 4.0,"{'qname': ':Actor', 'kind': 'class'}",:Actor,class
HDTs,HDT have been applied in applications to improve production rates as in [49] and [50],class,http://www.w3.org/ns/digitaltwin#DigitalTwin,0.8,,hdts,"{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class
"workers’ skills, preferences, personality","HDTs are proposed to collect and communicate workers’ skills, preferences, personality and to enable humans to take part to a decentralized computational decision-making process which leads to an improved scheduling.",data_property,http://www.w3.org/ns/digitaltwin#hasSkill,0.9,,"workers’ skills, preferences, personality","{'qname': ':DigitalTwin', 'kind': 'class'}",:DigitalTwin,class
