term,type_guess,definition,example_sentence,rationale,confidence
Manufacturing,class,"A specific type of industry or production process involving the creation of goods using machinery, tools, chemical materials, and/or labor.",# AI4Work-D1.1 (2024) - Pilots Requirements Analysis & Update of SotA,"The term 'Manufacturing' is not found in the ontology dictionary, but it seems to be a specific type of industry or production process.",0.8
Pilots,class,"A test or trial run of a system, product, or service to evaluate its performance and effectiveness.",# AI4Work-D1.1 (2024) - Pilots Requirements Analysis & Update of SotA,"The term 'Pilots' is not found in the ontology dictionary, but it seems to refer to test or trial runs.",0.9
Operational Equipment Effectiveness,class,A measure of the productivity and efficiency of equipment in a production process.,"Packaging material production lines are generally highly automated yet susceptible to multiple minor disruptions, which significantly impact Operational Equipment Effectiveness (OEE).",Not found in ontology but seems to be a specific measure of performance or efficiency.,0.9
production reliability,class,The ability of a production process to consistently produce goods without significant disruptions.,"Consequently, this leads to inconsistent production reliability across different shifts, characterized by more frequent production halts and extended repair times, particularly during night shifts which lack experienced operators (despite the need for continuous operation).",Not found in ontology but seems to be a specific aspect of performance or efficiency.,0.8
AI-powered digital production assistant,instance,An artificial intelligence system designed to assist operators in a manufacturing process.,The manufacturing pilot aims to address this issue with an AI-powered digital production assistant designed to bridge the knowledge gaps among operators and between operators and machines.,Not found in ontology but seems to be a specific type of system or tool.,0.9
knowledge gaps,class,The difference between what operators know and what they need to know to effectively perform their tasks.,The manufacturing pilot aims to address this issue with an AI-powered digital production assistant designed to bridge the knowledge gaps among operators and between operators and machines.,Not found in ontology but seems to be a specific concept related to learning or skills.,0.8
operator actions,class,The tasks and behaviors performed by operators in a manufacturing process.,Capturing knowledge from experienced workers by documenting maintenance and repair operations involves a crucial challenge: determining how to effectively and legally monitor operator actions.,Not found in ontology but seems to be a specific aspect of human activity or behavior.,0.7
maintenance and repair operations,class,The tasks performed to maintain or repair equipment in a manufacturing process.,Capturing knowledge from experienced workers by documenting maintenance and repair operations involves a crucial challenge: determining how to effectively and legally monitor operator actions.,Not found in ontology but seems to be a specific aspect of human activity or behavior.,0.7
mean time to repair,data_property,The average time it takes to repair a piece of equipment in a manufacturing process.,"Linking specific maintenance and repair operations to different types of failures, assessing and ranking their effectiveness based on metrics such as mean time to repair and possibly the time until a similar or related failure occurs again.",Not found in ontology but seems to be a specific metric related to reliability or efficiency.,0.7
State of the Art,class,"A current level or stage in a particular field, especially one that is considered to be the best or most advanced.",## 3. Update of State of the Art,No matching term found in the ontology dictionary.,0.9
